1,10060,"INCISION Y DRENAJE",ACTIVO
2,10120,EXTRACCION DE CUERPO EXTRANO,ACTIVO
3,10160,"PUNCION ASPIRATIVA DE ABSCESO, HEMATOMA, QUISTE",ACTIVO
4,10781,CANALIZACION DE VIA PERIFERICA,ACTIVO
5,11000,DESBRIDAMIENTO DE ECCEMA O INFECCION DE LA PIEL,ACTIVO
6,11042,LIMPIEZA QUIRURGICA,ACTIVO
7,11100,"BIOPSIA DE PIEL, TEJIDO SUBCUTANEO Y/O MUCOSA, LESION UNICA",ACTIVO
8,11400,EXERESIS DE LESION BENIGNA,ACTIVO
9,11443,EXTRACCION DE QUISTES MENORES,ACTIVO
10,11750,EXTRACCION DE UNA,ACTIVO
11,12002,CORRECCION SIMPLE DE HERIDAS SUPERFICIALES,ACTIVO
12,13100,CORRECCION COMPLEJA DE HERIDAS,ACTIVO
13,15851,RETIRO DE PUNTOS,ACTIVO
14,15852,CAMBIO DE APOSITOS Y CURACIONES BAJO ANESTESIA,ACTIVO
15,15999,ESCARECTOMIA,ACTIVO
16,16000,TRATAMIENTO LOCAL DE QUEMADURA DE PRIMER GRADO,ACTIVO
17,16010,DEBRIDAMIENTO Y/O LIMPIEZA QUIRURGICA DE QUEMADURAS BAJO ANESTESIA,ACTIVO
18,16035,ESCAROTOMIA,ACTIVO
19,19000,PUNCION CON AGUJA FINA DE QUISTE DE MAMA,ACTIVO
20,19100,BIOPSIA DE MAMA. AGUJA TROCAR,ACTIVO
21,19101,TOMA DE BIOPSIA DE MAMA,ACTIVO
22,19102,BIOPSIA PERCUTANEA DE MAMA CON IMAGENES,ACTIVO
23,19120,RESECCION QUIRURGICA NODULO PALPABLE,ACTIVO
24,19160,CUADRANTECTOMIA DE MAMA (MASTECTOMIA PARCIAL),ACTIVO
25,19180,MASTECTOMIA SIMPLE COMPLETA,ACTIVO
26,19200,MASTECTOMIA RADICAL,ACTIVO
27,20600,ARTROCENTESIS,ACTIVO
28,20650,TRACCION ESQUELETICA,ACTIVO
29,21030,EXCISION DE TUMOR BENIGNO O QUISTE DE HUESOS FACIALES DISTINTO DE LA MANDIBULA,ACTIVO
30,21040,EXCISION DE QUISTE BENIGNO O DE TUMOR DE MANDIBULA,ACTIVO
31,21209,"OSTEOPLASTIA, HUESOS FACIALES; PLASTIA DE REDUCCION",ACTIVO
32,21340,"TRATAMIENTO PERCUTANEO DE FRACTURA DE COMPLEJO NASOETMOIDAL, CON FIJACION CON FERULA, ALAMBRE OCASQU",ACTIVO
33,23500,TRATAMIENTO CERRADO DE FRACTURA DE CLAVICULA SIN MANIPULACION.,ACTIVO
34,23540,TRATAMIENTO CERRADO DE LUXACION DE HOMBRO,ACTIVO
35,23600,TRATAMIENTO CERRADO DE FRACTURA DE HUMERO PROXIMAL,ACTIVO
36,24685,TRATAMIENTO ABIERTO DE FRACTURA DE OLECRANON,ACTIVO
37,25250,REMOCION DE IMPLANTE,ACTIVO
38,25500,TRATAMIENTO CERRADO DE FRACTURA RADIAL O ULNAR,ACTIVO
39,25505,"TRATAMIENTO CERRADO DE FRACTURA RADIAL O ULNAR, CON MANIPULACION",ACTIVO
40,25515,"TRATAMIENTO ABIERTO DE FRACTURA RADIAL, INCLUYE FIJACION INTERNA",ACTIVO
41,25526,TRATAMIENTO DE FRACTURA RADIAL Y RADIAL ULNAR,ACTIVO
42,25606,FIJACION PERCUTANEA DE FRACTURA RADIAL,ACTIVO
43,25630,TRATAMIENTO CERRADO DE FRACTURA DE HUESO CARPIANO; EXCEPTO ESCAFOIDE,ACTIVO
44,26520,"CAPSULECTOMIA O CAPSULOTOMIA; ARTICULACION METACARPOFALANGICA, CADA ARTICULACION",ACTIVO
45,26525,"CAPSULECTOMIA O CAPSULOTOMIA; ARTICULACION INTERFALANGICA, CADA ARTICULACION",ACTIVO
46,26650,FIJACION PERCUTANEA DE FRACTURA CARPOMETACARPIANA,ACTIVO
47,27000,TENOTOMIA DEL ADUCTOR,ACTIVO
48,27005,TENOTOMIA DEL PSOAS,ACTIVO
49,27120,ACETABULOPLASTIA,INACTIVO
50,27158,OSTEOTOMIA PELVICA,ACTIVO
51,27161,OSTEOTOMIA FEMORAL,ACTIVO
52,27216,FIJACION PERCUTANEA DE FRACTURA DE PELVIS,ACTIVO
53,27217,"TRATAMIENTO ABIERTO DE DE FRACTURA PELVICA Y/O LUXACION, INCLUYE FIJACION INTERNA",ACTIVO
54,27226,TRATAMIENTO ABIERTO DE FRACTURA ACETABULAR,ACTIVO
55,27235,FIJACION PERCUTANEA DE FRACTURA FEMORAL PROXIMAL,ACTIVO
56,27256,"TRATAMIENTO DE LA LUXACION DE CADERA (CONGENUTA O PATOLOGICA) POR ABDUCCION, FERULA O TRACCION, SIN",ACTIVO
57,27257,"TRATAMIENTO DE LA LUXACION DE CADERA (CONGENUTA O PATOLOGICA) POR ABDUCCION, FERULA O TRACCION, CON",ACTIVO
58,27258,"TRATAMIENTO ABIERTO DE LUXACION DE CADERA (CONGENITA O PATOLOGICA), POR REEMPLAZO DE CABEZA FEMORAL",ACTIVO
59,27299,TRACCION CUTANEA,ACTIVO
60,27500,"TRATAMIENTO CERRADO DE FRSCTURA FEMORAL, SIN MANIPULACION",ACTIVO
61,27550,"TRATAMIENTO CERRADO DE LUXACION DE RODILLA, SIN ANESTESIA",ACTIVO
62,27552,"TRATAMIENTO CERRADO DE LUXACION DE RODILLA, CON ANESTESIA",ACTIVO
63,27750,TRATAMIENTO CERRADO DE FRACTURA TIBIAL,ACTIVO
64,27822,TRATAMIENTO ABIERTO DE FRACTURA DE TOBILLO,ACTIVO
65,28450,TRATAMIENTO CERRADO DE FRACTURA DE HUESO TARSIANO (EXCEPTO ASTRAGALO Y CALCANEO) O METATARSIANO,ACTIVO
66,28490,"TRATAMIENTO CERRADO DE FRACTURA DE DEDO GORDO, FALANGE O FALANGES; SIN MANIPULACION",ACTIVO
67,29010,APLICACION DE CORSE DE YESO,ACTIVO
68,29058,APLICACION DE YESO TORACO-BRAQUIAL (TIPO VELPEAU),ACTIVO
69,29065,APLICACION DE YESO DE HOMBRO A MANO,ACTIVO
70,29075,APLICACION DE YESO CORTO DE BRAZO O PIERNA (CODO A DEDO),ACTIVO
