"1","1","CHACHAPOYAS","0101","01","CHACHAPOYAS"
"2","1","BAGUA","0102","01","BAGUA"
"3","1","BONGARA","0103","01","JUMBILLA"
"4","1","CONDORCANQUI","0104","01","SANTA MARIA DE NIEVA"
"5","1","LUYA","0105","01","LAMUD"
"6","1","RODRIGUEZ DE MENDOZA","0106","01","MENDOZA"
"7","1","UTCUBAMBA","0107","01","BAGUA GRANDE"
"8","2","HUARAZ","0201","02","HUARAZ"
"9","2","AIJA","0202","02","AIJA"
"10","2","ANTONIO RAYMONDI","0203","02","LLAMELLIN"
"11","2","ASUNCION","0204","02","CHACAS"
"12","2","BOLOGNESI","0205","02","CHIQUIAN"
"13","2","CARHUAZ","0206","02","CARHUAZ"
"14","2","CARLOS FERMIN FITZCARRALD","0207","02","SAN LUIS"
"15","2","CASMA","0208","02","CASMA"
"16","2","CORONGO","0209","02","CORONGO"
"17","2","HUARI","0210","02","HUARI"
"18","2","HUARMEY","0211","02","HUARMEY"
"19","2","HUAYLAS","0212","02","CARAZ"
"20","2","MARISCAL LUZURIAGA","0213","02","PISCOBAMBA"
"21","2","OCROS","0214","02","OCROS"
"22","2","PALLASCA","0215","02","CABANA"
"23","2","POMABAMBA","0216","02","POMABAMBA"
"24","2","RECUAY","0217","02","RECUAY"
"25","2","SANTA","0218","02","CHIMBOTE"
"26","2","SIHUAS","0219","02","SIHUAS"
"27","2","YUNGAY","0220","02","YUNGAY"
"28","3","ABANCAY","0301","03","ABANCAY"
"29","3","ANDAHUAYLAS","0302","03","ANDAHUAYLAS"
"30","3","ANTABAMBA","0303","03","ANTABAMBA"
"31","3","AYMARAES","0304","03","CHALHUANCA"
"32","3","COTABAMBAS","0305","03","TAMBOBAMBA"
"33","3","CHINCHEROS","0306","03","CHINCHEROS"
"34","4","AREQUIPA","0401","04","AREQUIPA"
"35","4","CAMANA","0402","04","CAMANA"
"36","4","CARAVELI","0403","04","CARAVELI"
"37","4","CASTILLA","0404","04","APLAO"
"38","4","CAYLLOMA","0405","04","CHIVAY"
"39","4","CONDESUYOS","0406","04","CHUQUIBAMBA"
"40","4","ISLAY","0407","04","MOLLENDO"
"41","4","LA UNION","0408","04","COTAHUASI"
"42","5","HUAMANGA","0501","05","AYACUCHO"
"43","5","CANGALLO","0502","05","CANGALLO"
"44","5","HUANCA SANCOS","0503","05","HUANCA SANCOS"
"45","5","HUANTA","0504","05","HUANTA"
"46","5","LA MAR","0505","05","SAN MIGUEL"
"47","5","LUCANAS","0506","05","PUQUIO"
"48","5","PARINACOCHAS","0507","05","CORACORA"
"49","5","PAUCAR DEL SARA SARA","0508","05","PAUSA"
"50","5","SUCRE","0509","05","QUEROBAMBA"
"51","5","VICTOR FAJARDO","0510","05","HUANCAPI"
"52","5","VILCAS HUAMAN","0511","05","VILCAS HUAMAN"
"53","6","CAJAMARCA","0601","06","CAJAMARCA"
"54","6","CAJABAMBA","0602","06","CAJABAMBA"
"55","6","CELENDIN","0603","06","CELENDIN"
"56","6","CHOTA","0604","06","CHOTA"
"57","6","CONTUMAZA","0605","06","CONTUMAZA"
"58","6","CUTERVO","0606","06","CUTERVO"
"59","6","HUALGAYOC","0607","06","BAMBAMARCA"
"60","6","JAEN","0608","06","JAEN"
"61","6","SAN IGNACIO","0609","06","SAN IGNACIO"
"62","6","SAN MARCOS","0610","06","SAN MARCOS"
"63","6","SAN MIGUEL","0611","06","SAN MIGUEL DE PALLAQUES"
"64","6","SAN PABLO","0612","06","SAN PABLO"
"65","6","SANTA CRUZ","0613","06","SANTA CRUZ DE SUCCHABAMBA"
"66","7","CALLAO","0701","07","CALLAO"
"67","8","CUSCO","0801","08","CUSCO"
"68","8","ACOMAYO","0802","08","ACOMAYO"
"69","8","ANTA","0803","08","ANTA"
"70","8","CALCA","0804","08","CALCA"
"71","8","CANAS","0805","08","YANAOCA"
"72","8","CANCHIS","0806","08","SICUANI"
"73","8","CHUMBIVILCAS","0807","08","SANTO TOMAS"
"74","8","ESPINAR","0808","08","ESPINAR (YAURI)"
"75","8","LA CONVENCION","0809","08","QUILLABAMBA"
"76","8","PARURO","0810","08","PARURO"
"77","8","PAUCARTAMBO","0811","08","PAUCARTAMBO"
"78","8","QUISPICANCHI","0812","08","URCOS"
"79","8","URUBAMBA","0813","08","URUBAMBA"
"80","9","HUANCAVELICA","0901","09","HUANCAVELICA"
"81","9","ACOBAMBA","0902","09","ACOBAMBA"
"82","9","ANGARES","0903","09","LIRCAY"
"83","9","CASTROVIRREYNA","0904","09","CASTROVIRREYNA"
"84","9","CHURCAMPA","0905","09","CHURCAMPA"
"85","9","HUAYTARA","0906","09","HUAYTARA"
"86","9","TAYACAJA","0907","09","PAMPAS"
"87","10","HUANUCO","1001","10","HUANUCO"
"88","10","AMBO","1002","10","AMBO"
"89","10","DOS DE MAYO","1003","10","LA UNION"
"90","10","HUACAYBAMBA","1004","10","HUACAYBAMBA"
"91","10","HUAMALIES","1005","10","LLATA"
"92","10","LEONCIO PRADO","1006","10","TINGO MARIA"
"93","10","MARANON","1007","10","HUACRACHUCO"
"94","10","PACHITEA","1008","10","PANAO"
"95","10","PUERTO INCA","1009","10","PUERTO INCA"
"96","10","LAURICOCHA","1010","10","JESUS"
"97","10","YAROWILCA","1011","10","CHAVINILLO"
"98","11","ICA","1101","11","ICA"
"99","11","CHINCHA","1102","11","CHINCHA ALTA"
"100","11","NAZCA","1103","11","NAZCA"
"101","11","PALPA","1104","11","PALPA"
"102","11","PISCO","1105","11","PISCO"
"103","12","HUANCAYO","1201","12","HUANCAYO"
"104","12","CONCEPCION","1202","12","CONCEPCION"
"105","12","CHANCHAMAYO","1203","12","LA MERCED"
"106","12","JAUJA","1204","12","JAUJA"
"107","12","JUNIN","1205","12","JUNIN"
"108","12","SATIPO","1206","12","SATIPO"
"109","12","TARMA","1207","12","TARMA"
"110","12","YAULI","1208","12","LA OROYA"
"111","12","CHUPACA","1209","12","CHUPACA"
"112","13","TRUJILLO","1301","13","TRUJILLO"
"113","13","ASCOPE","1302","13","ASCOPE"
"114","13","BOLIVAR","1303","13","BOLIVAR"
"115","13","CHEPEN","1304","13","CHEPEN"
"116","13","JULCAN","1305","13","JULCAN"
"117","13","OTUZCO","1306","13","OTUZCO"
"118","13","PACASMAYO","1307","13","SAN PEDRO DE LLOC"
"119","13","PATAZ","1308","13","TAYABAMBA"
"120","13","SANCHEZ CARRION","1309","13","HUAMACHUCO"
"121","13","SANTIAGO DE CHUCO","1310","13","SANTIAGO DE CHUCO"
"122","13","GRAN CHIMU","1311","13","CASCAS"
"123","13","VIRU","1312","13","VIRU"
"124","14","CHICLAYO","1401","14","CHICLAYO"
"125","14","FERRENAFE","1402","14","FERRENAFE"
